title,price,image,link,reviews,stars,id
"null","SAR 2,597.87","https://m.media-amazon.com/images/I/6175i5ny9hL._AC_UL320_.jpg","https://www.amazon.sa/-/en/sspa/click?ie=UTF8&spc=MTo0OTEwMzg5Njc0NzA5MTg1OjE2NzUyNjM5MzQ6c3BfbXRmX2Jyb3dzZToyMDAxODMzMjU1NTE5ODo6MDo6&url=%2F15-6inch-Ultra-thin-Notebook-i5-8265U-Graphics%2Fdp%2FB09LQZGS8R%2Fref%3Dsr_1_41_sspa%3Fqid%3D1675263934%26s%3Delectronics%26sr%3D1-41-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGZfYnJvd3Nl%26psc%3D1","null","Shipped from outside KSA","B09LQZGS8R"
"null","SAR 111.33","https://m.media-amazon.com/images/I/51pJW8KNplS._AC_UL320_.jpg","https://www.amazon.sa/-/en/sspa/click?ie=UTF8&spc=MTo0OTEwMzg5Njc0NzA5MTg1OjE2NzUyNjM5MzQ6c3BfbXRmX2Jyb3dzZToyMDA4NzMyMTc0NDQ5ODo6MDo6&url=%2FPepisky-Multifunctional-Portable-Lightweight-Wear-resistant%2Fdp%2FB09NRBF7L1%2Fref%3Dsr_1_42_sspa%3Fqid%3D1675263934%26s%3Delectronics%26sr%3D1-42-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGZfYnJvd3Nl%26psc%3D1","null","Shipped from outside KSA","B09NRBF7L1"
"null","SAR 4,777.59","https://m.media-amazon.com/images/I/71Ql3bTrmyL._AC_UL320_.jpg","https://www.amazon.sa/-/en/Lenovo-Slim-7i-Windows-Display/dp/B0B95SV7YF/ref=sr_1_43?qid=1675263934&s=electronics&sr=1-43","null","null","B0B95SV7YF"
"null","SAR 1,431.77","https://m.media-amazon.com/images/I/518ZjwJVVaL._AC_UL320_.jpg","https://www.amazon.sa/-/en/Lenovo-IdeaPad-Flex-Touchscreen-Notebook/dp/B0B2LGG2MB/ref=sr_1_44?qid=1675263934&s=electronics&sr=1-44","4.1 out of 5 stars 53","4.1 out of 5 stars","B0B2LGG2MB"
"null","SAR 9,518.16","https://m.media-amazon.com/images/I/61-ODJrgv6L._AC_UL320_.jpg","https://www.amazon.sa/-/en/Razer-Blade-Gaming-Laptop-Thunderbolt/dp/B09RC2J461/ref=sr_1_45?qid=1675263934&s=electronics&sr=1-45","4.3 out of 5 stars 206","4.3 out of 5 stars","B09RC2J461"
"null","SAR 2,705.29","https://m.media-amazon.com/images/I/61mQt9YM5OL._AC_UL320_.jpg","https://www.amazon.sa/-/en/HP-16-e0011wm-Victus-Gaming-Laptop/dp/B0B6Q66QSZ/ref=sr_1_46?qid=1675263934&s=electronics&sr=1-46","5.0 out of 5 stars 1","5.0 out of 5 stars","B0B6Q66QSZ"
"null","SAR 849.00","https://m.media-amazon.com/images/I/61NwoN7lJDL._AC_UL320_.jpg","https://www.amazon.sa/-/en/Acer-Laptop-A315-34-C61B-Celeron-Charcoal/dp/B08W9QB1F3/ref=sr_1_47?qid=1675263934&s=electronics&sr=1-47","2.5 out of 5 stars 9","2.5 out of 5 stars","B08W9QB1F3"
"null","SAR 2,499.00","https://m.media-amazon.com/images/I/71YVwflgVBL._AC_UL320_.jpg","https://www.amazon.sa/-/en/ASUS-X415JP-EB245W-I7-1065G7-Keyboard-International/dp/B09R9528V2/ref=sr_1_48?qid=1675263934&s=electronics&sr=1-48","3.8 out of 5 stars 7","3.8 out of 5 stars","B09R9528V2"
"null","SAR 13.66","https://m.media-amazon.com/images/I/61b4jBe+JeL._AC_UL320_.jpg","https://www.amazon.sa/-/en/SKY-TOUCH-Computer-MacBook-protect-security/dp/B0B74FK5YQ/ref=sr_1_49?qid=1675263934&s=electronics&sr=1-49","4.0 out of 5 stars 55","4.0 out of 5 stars","B0B74FK5YQ"
"null","SAR 2,899.00","https://m.media-amazon.com/images/I/618hQV8FxjL._AC_UL320_.jpg","https://www.amazon.sa/-/en/ASUS-FA506IHRB-HN080W-Keyboard-International-Warranty/dp/B0B87TMJBY/ref=sr_1_50?qid=1675263934&s=electronics&sr=1-50","4.5 out of 5 stars 2","4.5 out of 5 stars","B0B87TMJBY"
"null","SAR 11,799.00","https://m.media-amazon.com/images/I/61fd2oCrvyL._AC_UL320_.jpg","https://www.amazon.sa/-/en/Apple-MacBook-laptop-12%E2%80%91core-19%E2%80%91core/dp/B0BSHF7KHT/ref=sr_1_51?qid=1675263934&s=electronics&sr=1-51","5.0 out of 5 stars 1","5.0 out of 5 stars","B0BSHF7KHT"
"null","SAR 622.15","https://m.media-amazon.com/images/I/71MssPHupHS._AC_UL320_.jpg","https://www.amazon.sa/-/en/GeoBook-12-5-inch-Laptop-Windows-Celeron/dp/B093CKF956/ref=sr_1_52?qid=1675263934&s=electronics&sr=1-52","4.0 out of 5 stars 933","4.0 out of 5 stars","B093CKF956"
"null","SAR 1,749.00","https://m.media-amazon.com/images/I/51cR6xeF+PL._AC_UL320_.jpg","https://www.amazon.sa/-/en/Microsoft-Surface-Pentium-6500Y-Windows/dp/B09H72QKVZ/ref=sr_1_53?qid=1675263934&s=electronics&sr=1-53","4.4 out of 5 stars 70","4.4 out of 5 stars","B09H72QKVZ"
"null","SAR 3,714.44","https://m.media-amazon.com/images/I/91NgWM9E2XL._AC_UL320_.jpg","https://www.amazon.sa/-/en/HP-X360-Touchscreen-i7-1165G7-Convertible/dp/B0BFX23BF9/ref=sr_1_54?qid=1675263934&s=electronics&sr=1-54","4.4 out of 5 stars 8","4.4 out of 5 stars","B0BFX23BF9"
"null","SAR 69.73","https://m.media-amazon.com/images/I/51WWupbr-sL._AC_UL320_.jpg","https://www.amazon.sa/-/en/sspa/click?ie=UTF8&spc=MTo0OTEwMzg5Njc0NzA5MTg1OjE2NzUyNjM5MzQ6c3BfYnRmX2Jyb3dzZToyMDEwMTQ0MDQ0MzA5ODo6MDo6&url=%2FNotebook-Orderly-Protection-Fashion-3-interlayer%2Fdp%2FB09QLHSN38%2Fref%3Dsr_1_55_sspa%3Fqid%3D1675263934%26s%3Delectronics%26sr%3D1-55-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGZfYnJvd3Nl%26psc%3D1","null","Shipped from outside KSA","B09QLHSN38"
"null","SAR 1,034.99","https://m.media-amazon.com/images/I/61R-CW45zNL._AC_UL320_.jpg","https://www.amazon.sa/-/en/sspa/click?ie=UTF8&spc=MTo0OTEwMzg5Njc0NzA5MTg1OjE2NzUyNjM5MzQ6c3BfYnRmX2Jyb3dzZToyMDAyNzM0MDM0NDc5ODo6MDo6&url=%2FSOOBA-Processor-Resolution-Portable-Business%2Fdp%2FB09R47ZPCN%2Fref%3Dsr_1_56_sspa%3Fqid%3D1675263934%26s%3Delectronics%26sr%3D1-56-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGZfYnJvd3Nl%26psc%3D1","null","Only 1 left in stock - order soon.","B09R47ZPCN"
"null","SAR 1,501.89","https://m.media-amazon.com/images/I/51VIAfLmcVL._AC_UL320_.jpg","https://www.amazon.sa/-/en/sspa/click?ie=UTF8&spc=MTo0OTEwMzg5Njc0NzA5MTg1OjE2NzUyNjM5MzQ6c3BfYnRmX2Jyb3dzZToyMDA3MjA2NzQ0MjY5ODo6MDo6&url=%2FJIANGMEI-Portable-Business-Celeron-Processor%2Fdp%2FB0BBGT9TSM%2Fref%3Dsr_1_57_sspa%3Fqid%3D1675263934%26s%3Delectronics%26sr%3D1-57-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGZfYnJvd3Nl%26psc%3D1","null","Shipped from outside KSA","B0BBGT9TSM"
"null","null","null","null","null","null",""
"null","null","null","null","null","null",""
